geo,name,time,Happiness score (WHR)
africa,Africa,2005,5.17
africa,Africa,2006,4.33
africa,Africa,2007,4.80
africa,Africa,2008,4.60
africa,Africa,2009,4.58
africa,Africa,2010,4.47
africa,Africa,2011,4.57
africa,Africa,2012,4.64
africa,Africa,2013,4.20
africa,Africa,2014,4.34
africa,Africa,2015,4.48
africa,Africa,2016,4.49
africa,Africa,2017,4.53
africa,Africa,2018,4.64
africa,Africa,2019,4.50
africa,Africa,2020,4.87
africa,Africa,2021,4.55
africa,Africa,2022,4.46
asia,Asia,2005,5.87
asia,Asia,2006,4.95
asia,Asia,2007,5.10
asia,Asia,2008,5.03
asia,Asia,2009,4.76
asia,Asia,2010,5.04
asia,Asia,2011,5.05
asia,Asia,2012,5.04
asia,Asia,2013,4.99
asia,Asia,2014,5.03
asia,Asia,2015,4.97
asia,Asia,2016,4.97
asia,Asia,2017,4.83
asia,Asia,2018,4.78
asia,Asia,2019,4.63
asia,Asia,2020,5.11
asia,Asia,2021,4.91
asia,Asia,2022,5.04
europe,Europe,2005,6.42
europe,Europe,2006,5.48
europe,Europe,2007,5.94
europe,Europe,2008,6.26
europe,Europe,2009,5.84
europe,Europe,2010,5.99
europe,Europe,2011,5.96
europe,Europe,2012,6.01
europe,Europe,2013,5.94
europe,Europe,2014,6.10
europe,Europe,2015,6.06
europe,Europe,2016,6.07
europe,Europe,2017,6.14
europe,Europe,2018,6.19
europe,Europe,2019,6.14
europe,Europe,2020,6.23
europe,Europe,2021,6.11
europe,Europe,2022,6.16
americas,The Americas,2005,6.73
americas,The Americas,2006,6.49
americas,The Americas,2007,6.67
americas,The Americas,2008,6.67
americas,The Americas,2009,6.87
americas,The Americas,2010,6.80
americas,The Americas,2011,6.81
americas,The Americas,2012,6.75
americas,The Americas,2013,6.95
americas,The Americas,2014,6.77
americas,The Americas,2015,6.49
americas,The Americas,2016,6.44
americas,The Americas,2017,6.47
americas,The Americas,2018,6.40
americas,The Americas,2019,6.51
americas,The Americas,2020,6.29
americas,The Americas,2021,6.29
americas,The Americas,2022,6.35
